Id,ViewCount,Title,Tags,OwnerUserId,ClosedDate
"58406104","553","How filter array with different parameters using pipes","<angular><typescript><angular6><angular-pipe>","8856403",""
"58406105","50","Create Classes and Derived Classes in any folder of Zend","<php><zend-framework3>","12088404",""
"58406107","38","How to Run Sympy_gama in windows 10 on localhost","<python><django><sympy>","12205051",""
"58406108","130","Find all the partial paths in a tree","<haskell><tree>","12218351",""
"58406110","58","How can I remove stopwords in sets of sentences?","<python>","9219214",""
"58406112","","","","2901002",""
"58406113","","","","6039052",""
"58406114","","","","12200437",""
"58406115","580","Print first N rows per group -> Remove all docker images except newest N for each image name","<shell><docker><awk>","680038",""
"58406116","37","MongoDB (mongoose) Apply sort, filter on documents coming from 2 collections","<mongodb><mongoose>","1991517",""
"58406119","","","","478884",""
"58406120","31","Add the values of a panda dataframe column if the value of another column is the same","<python>","12097553",""
"58406121","","","","7956924",""
"58406122","116","How to extract the current month from this string?","<python><python-3.x><text-search>","11673772",""
"58406123","599","Why using the Taylor series formula for arcsin converges so quickly with x = 1","<c><taylor-series>","12224061",""
"58406124","21","compare the 'class' of container tag","<beautifulsoup>","1883050",""
"58406125","5382","How to write a table to hive from spark without using the warehouse connector in HDP 3.1","<apache-spark><hive><apache-spark-sql><hdp><hadoop3>","2587904",""
"58406126","74","Probability of 1 to n number combination","<php><arrays><math><probability>","5076704",""
"58406127","","","","1863229",""
"58406128","61","How to cancel the alarm manager daily notifications?","<android><notifications><alarmmanager>","11900308",""
"58406129","","","","12177617",""
"58406130","551","How to write kubernetes deployment to get the latest image built using GCP cloudbuild","<kubernetes><google-cloud-platform><google-cloud-build>","4412382",""
"58406131","","","","1245024",""
"58406132","","","","2520199",""
"58406133","","","","2056545",""
"3821370","2466","Algorithm to detect if a pixel is within a boundary","<c#><silverlight><algorithm><image><image-processing>","199700",""
"3821371","","","","14860",""
"3821374","","","","3432",""
"3821375","","","","399346",""
"3821376","1117","Deep Cloning in Yui3","<jquery><yui3>","432799",""
"3821377","","","","461637",""
"3821378","","","","120261",""
"3821380","","","","15639",""
"3821382","","","","14302",""
"3821383","6215","Business date/holiday handling","<ruby><date>","332394",""
"3821384","","","","282666",""
"3821385","5425","How to export data to excel using mvc without using third party control","<asp.net-mvc>","199478",""
"3821386","","","","461692",""
"3821387","15347","New model object through an association","<ruby-on-rails><activerecord><associations>","341878",""
"3821388","1056","Python's sqlite3.register_converter() does not convert double to Decimal","<python><sqlite>","461694",""
"3821389","","","","201078",""
"3821390","","","","373861",""
"3821391","1036","Is there a PHP function for imploding an associative array without losing the keys?","<php><arrays><associative-array>","388916",""
"3821392","149","check field formmail","<perl><forms><webforms><validation>","428492",""
"3821393","","","","66532",""
"3821394","","","","17034",""
"3821395","","","","373102",""
"3821396","","","","5190",""
"3821398","","","","203458",""
"3821399","27903","Split string to List<string> with Linq","<c#><linq><list>","118584",""
"3821400","","","","",""
"3821401","6034","Custom sort in Drupal Views","<drupal><sorting><drupal-6><views>","347857",""
"3821402","","","","83125",""
"3821403","","","","461669",""
"3821404","","","","367229",""
"3821405","","","","",""
"3821406","","","","98713",""
"21840594","","","","133398",""
"21840595","","","","1243790",""
"21840596","","","","881456",""
"21840597","","","","604364",""
"21840599","","","","1175077",""
"21840600","","","","2992786",""
"21840601","","","","3275788",""
"21840602","","","","390330",""
"21840603","","","","299152",""
"21840604","","","","2337837",""
"21840605","","","","3299137",""
"21840606","29","How can I store private posts and likes on Android?","<android><facebook-like>","3074315",""
"21840607","","","","2527905",""
"21840608","2285","Call derived class method from within base class?","<visual-c++><inheritance><c++-cli><polymorphism>","3120753",""
"21840610","","","","908494",""
"21840611","632","Character encoding in vb6","<vba><character-encoding><vb6>","1742785",""
"21840612","354","PHP Session Data for Username/Password","<php><session><post>","3320275",""
"21840613","","","","223478",""
"21840614","","","","2998293",""
"21840615","461","AngularJS animation timing issue","<angularjs><css-animations><angularjs-animation>","3163245",""
"21840616","92","Retrieving data with mongoose","<node.js><mongodb><mongoose>","2178042",""
"21840617","","","","1105249",""
"21840619","","","","2064774",""
"21840621","292","How can i implement audio video streaming with RTMPy","<python><streaming><video-streaming><rtmp>","1540569",""
"21840622","","","","2175658",""
"21840623","","","","446515",""
"21840624","","","","3096782",""
"21840625","166","Return for an argument in iOS","<ios><arguments><hook><jailbreak><theos>","2288341",""
"21840626","","","","364282",""
"21840628","","","","773159",""
"21840629","","","","2898867",""
"21840631","","","","2581799",""
"21840633","59","Why do I need *, *:after {...} instead of just * {...}?","<css>","319845",""
"21840634","992","Qt/Qml for two different displays on QNX platform","<qt><qml><qnx>","3320968",""
"21840635","","","","825568",""
"21840636","","","","688355",""
"21840637","","","","103167",""
"21840638","","","","2548721",""
"21840639","","","","1297473",""
"21840640","","","","567269",""
"21840641","","","","1657639",""
